,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
822,2017-10-16,6917.648438125648,6917.648438125649,6917.648438125649,6544.731902777103,6323.30954362478,6772.991582915141
823,2017-10-17,6925.204482737492,6925.204482737492,6925.204482737492,6559.054754038986,6335.915457571031,6782.385232522981
824,2017-10-18,6932.760527349336,6932.760527349336,6932.760527349336,6563.591186678557,6323.284712365619,6794.072298458189
825,2017-10-19,6940.316571961182,6940.316571961182,6940.316571961182,6563.49207508176,6342.235406774684,6796.9221818199385
826,2017-10-20,6947.872616573026,6947.872616573026,6947.872616573026,6570.18989874392,6364.064223021417,6810.812850510207
827,2017-10-23,6970.54075040856,6970.54075040856,6970.54075040856,6582.609107905029,6348.401834758424,6785.2137510271805
828,2017-10-24,6978.096795020406,6978.096795020406,6978.096795020406,6601.922502912494,6393.040664786442,6823.582351313878
829,2017-10-25,6985.652839632249,6985.652839632249,6985.652839632249,6611.091851539995,6406.424971542901,6827.479759506943
830,2017-10-26,6993.2088842440935,6993.2088842440935,6993.2088842440935,6615.188972939049,6398.438113325881,6830.3893739175
831,2017-10-27,7000.764928855938,7000.764928855937,7000.764928855937,6625.57810926039,6417.427961621877,6834.068069247408
832,2017-10-30,7023.433062691471,7023.433062691471,7023.433062691471,6645.554781713766,6427.000249193195,6855.5716460328695
833,2017-10-31,7030.989107303315,7030.989107303315,7030.989107303315,6666.125648808258,6460.3918260393675,6887.865752497604
834,2017-11-01,7038.545151915159,7038.545151915159,7038.545151915159,6675.915197600961,6455.255272171182,6898.189991328009
835,2017-11-02,7046.101196527006,7046.101196527006,7046.101196527006,6680.0143499456735,6477.9640069569505,6895.629175054983
836,2017-11-03,7053.657241138851,7053.657241138851,7053.657241138851,6689.82092934375,6478.4038666957185,6922.566485452049
837,2017-11-06,7076.325374974383,7076.325374974383,7076.325374974383,6705.0688236707465,6465.257634396491,6913.905471196853
838,2017-11-07,7083.881419586229,7083.881419586229,7083.881419586229,6723.2966189251665,6517.894648551327,6939.5725611825765
839,2017-11-08,7091.437464198072,7091.437464198072,7091.437464198072,6730.491457146142,6504.790868290992,6959.173468407264
840,2017-11-09,7098.993508809916,7098.993508809916,7098.993508809916,6731.829307852164,6516.588852648267,6950.578070626326
841,2017-11-10,7106.549553421761,7106.549553421761,7106.549553421761,6622.754096007783,6391.431230751123,6842.46865237989
842,2017-11-13,7129.217687257296,7129.217687257296,7129.217687257296,6745.835658743728,6528.223485956401,6954.743014764152
843,2017-11-14,7136.77373186914,7136.77373186914,7136.77373186914,6761.672558212096,6545.683376475077,6983.400388662469
844,2017-11-15,7144.329776480984,7144.329776480984,7144.329776480984,6766.743817236141,6541.690112086957,6988.299720488704
845,2017-11-16,7151.885821092828,7151.885821092828,7151.885821092828,6766.264843423139,6545.5628060763975,6991.214190314985
846,2017-11-17,7159.441865704674,7159.441865704674,7159.441865704674,6771.744900448977,6543.256898573683,6977.265538172434
847,2017-11-20,7182.109999540207,7182.109999540207,7182.109999540207,6776.37721056857,6549.959919393207,6991.558683252419
848,2017-11-21,7189.666044152052,7189.666044152053,7189.666044152053,6792.036426709283,6569.607435082028,7001.225733788377
849,2017-11-22,7197.222088763897,7197.222088763897,7197.222088763897,6797.18221608756,6578.122688498411,7033.04751288991
850,2017-11-24,7212.3341779875855,7212.3341779875855,7212.3341779875855,6802.865757162749,6584.659146748982,7039.7280522831725
851,2017-11-27,7235.002311823119,7235.002311823119,7235.002311823119,6808.828183044183,6600.704011438406,7033.121275676709
852,2017-11-28,7242.558356434965,7242.558356434965,7242.558356434965,6824.714953620895,6589.566537557608,7038.603871573113
853,2017-11-29,7250.089164442317,7250.089164442317,7250.089164442317,6829.833520356763,6620.92762355302,7062.292659301009
854,2017-11-30,7257.619972449668,7257.619972449668,7257.619972449668,6829.305553415573,6611.273059108217,7055.938205094513
855,2017-12-01,7265.150780457017,7265.150780457017,7265.150780457017,6834.520867436348,6612.787391427722,7048.169502777545
856,2017-12-04,7287.74320447907,7287.74320447907,7287.74320447907,6835.954843589949,6609.247199687295,7049.153366100843
857,2017-12-05,7295.274012486421,7295.274012486421,7295.274012486421,6849.434450707192,6625.515597477697,7067.879636480247
858,2017-12-06,7302.804820493772,7302.804820493772,7302.804820493772,6851.73001656676,6638.832583353362,7069.6135615086205
859,2017-12-07,7310.335628501124,7310.335628501124,7310.335628501124,6847.9671234274565,6638.245273815433,7074.064310633416
860,2017-12-08,7317.866436508475,7317.866436508475,7317.866436508475,6849.580931630047,6640.358197628819,7059.723513348246
861,2017-12-11,7340.458860530528,7340.458860530528,7340.458860530528,6838.68816791187,6626.798989108083,7075.914793952964
862,2017-12-12,7347.989668537877,7347.989668537877,7347.989668537877,6847.841084833902,6626.528338586845,7079.852776699882
863,2017-12-13,7355.520476545228,7355.520476545228,7355.520476545228,6845.870527954668,6634.732877640212,7050.1374663259885
864,2017-12-14,7363.051284552579,7363.051284552579,7363.051284552579,6838.013188478827,6611.0461238420585,7044.772799706576
865,2017-12-15,7370.582092559931,7370.582092559931,7370.582092559931,6835.8175744509435,6618.299081658577,7046.504873030431
866,2017-12-18,7393.174516581984,7393.174516581984,7393.174516581984,6816.308217911319,6599.843878036632,7038.306222635501
867,2017-12-19,7400.705324589335,7400.705324589335,7400.705324589335,6823.860842710837,6594.504661197654,7046.736772050857
